what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.Terminate",1343505063796
activated,perspective,org.eclipse.jst.j2ee.ui,1.1.501.v201108231700,"org.eclipse.jst.j2ee.J2EEPerspective",1343505067390
activated,editor,com.android.ide.eclipse.adt,20.0.0.v201206242043-391819,"com.android.ide.eclipse.editors.CommonXmlEditor",1343505067406
activated,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ResourceNavigator",1343505071437
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343505080749
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343505092937
activated,editor,com.android.ide.eclipse.adt,20.0.0.v201206242043-391819,"com.android.ide.eclipse.editors.CommonXmlEditor",1343505094609
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343505099765
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343505415937
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1343505418874
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343505429703
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343505472859
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343505474578
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343505737703
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343505746031
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343505779374
activated,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ResourceNavigator",1343505784656
opened,editor,com.android.ide.eclipse.adt,20.0.0.v201206242043-391819,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1343505784812
activated,editor,com.android.ide.eclipse.adt,20.0.0.v201206242043-391819,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1343505784937
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343505807515
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343505830406
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343505837531
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343505903890
activated,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ResourceNavigator",1343505904078
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343505921796
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343506438859
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110502-1955,"org.eclipse.equinox.p2.ui.sdk.update",1343506445343
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343506445656
started,bundle,org.eclipse.equinox.p2.updatesite,1.0.300.v20110510,"org.eclipse.equinox.p2.updatesite",1343506445781
started,bundle,org.eclipse.equinox.p2.publisher,1.2.0.v20110511,"org.eclipse.equinox.p2.publisher",1343506445828
started,bundle,org.eclipse.equinox.p2.extensionlocation,1.2.100.v20110510,"org.eclipse.equinox.p2.extensionlocation",1343506446499
error,log,,,"Provisioning exception",1343506446609
started,bundle,org.eclipse.equinox.p2.publisher.eclipse,1.0.0.v20110511,"org.eclipse.equinox.p2.publisher.eclipse",1343506471156
error,log,,,"Provisioning exception",1343506568234
started,bundle,org.eclipse.equinox.p2.director,2.1.0.v20110504-1715,"org.eclipse.equinox.p2.director",1343506572562
started,bundle,org.eclipse.equinox.p2.artifact.repository,1.1.101.R37x_v20110714,"org.eclipse.equinox.p2.artifact.repository",1343506573468
started,bundle,org.eclipse.equinox.p2.touchpoint.eclipse,2.1.1.R37x_v20110815-0935,"org.eclipse.equinox.p2.touchpoint.eclipse",1343506573890
error,log,,,"No repository found at jar:file:/C:/Documents%20and%20Settings/sg0207998/Desktop/ADT-20.0.0.zip!/.",1343506599359
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343506859484
activated,editor,com.android.ide.eclipse.adt,20.0.0.v201206242043-391819,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1343506859609
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343506864984
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343506870906
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343506885015
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343507117749
activated,perspective,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.DebugPerspective",1343507123093
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343507146749
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343507175734
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1343507176171
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1343507178406
activated,view,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.DebugView",1343507179953
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.Resume",1343507180015
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.Resume",1343507181374
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.Resume",1343507189078
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343507192093
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343507195031
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1343507195093
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343507197124
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343507199734
activated,view,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.DebugView",1343507199781
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.Terminate",1343507199796
activated,perspective,org.eclipse.jst.j2ee.ui,1.1.501.v201108231700,"org.eclipse.jst.j2ee.J2EEPerspective",1343507202953
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1343507202984
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343507203968
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343507225796
activated,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ResourceNavigator",1343507225906
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343507240656
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1343507397281
error,log,,,"Warning: Ignoring name conflict in resource file for name padding_large",1343507452859
error,log,,,"Warning: Ignoring name conflict in resource file for name padding_medium",1343507452859
error,log,,,"Warning: Ignoring name conflict in resource file for name padding_small",1343507452874
error,log,,,"Warning: Ignoring name conflict in resource file for name padding_large",1343507452874
error,log,,,"Warning: Ignoring name conflict in resource file for name padding_medium",1343507452874
error,log,,,"Warning: Ignoring name conflict in resource file for name padding_small",1343507452874
error,log,,,"Warning: Ignoring name conflict in resource file for name hello_world",1343507452890
error,log,,,"Warning: Ignoring name conflict in resource file for name menu_settings",1343507452890
error,log,,,"Warning: Ignoring name conflict in resource file for name padding_large",1343507487343
error,log,,,"Warning: Ignoring name conflict in resource file for name padding_medium",1343507487343
error,log,,,"Warning: Ignoring name conflict in resource file for name padding_small",1343507487343
error,log,,,"Warning: Ignoring name conflict in resource file for name padding_large",1343507487343
error,log,,,"Warning: Ignoring name conflict in resource file for name padding_medium",1343507487343
error,log,,,"Warning: Ignoring name conflict in resource file for name padding_small",1343507487343
error,log,,,"Warning: Ignoring name conflict in resource file for name hello_world",1343507487343
error,log,,,"Warning: Ignoring name conflict in resource file for name menu_settings",1343507487343
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343507487796
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.newWizard",1343507487828
opened,editor,com.android.ide.eclipse.adt,20.0.0.v201206242043-391819,"com.android.ide.eclipse.editors.CommonXmlEditor",1343507488921
activated,editor,com.android.ide.eclipse.adt,20.0.0.v201206242043-391819,"com.android.ide.eclipse.editors.CommonXmlEditor",1343507489093
activated,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ResourceNavigator",1343507515343
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1343507518437
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1343507518562
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1343507587734
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1343507587796
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.open.editor",1343507587921
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1343507591796
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1343507591796
activated,editor,com.android.ide.eclipse.adt,20.0.0.v201206242043-391819,"com.android.ide.eclipse.editors.CommonXmlEditor",1343507595468
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343507837078
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343512134874
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343512139312
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343513846437
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1343513849999
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1343513860156
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1343513864546
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1343513867031
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343513894812
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343513911124
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.lineEnd",1343513918078
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1343513919031
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1343513927515
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1343513931031
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1343513933999
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343513952374
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343513958499
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343513980328
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343514018218
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343514050781
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343514066343
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1343514185171
activated,view,com.android.ide.eclipse.ddms,20.0.0.v201206242043-391819,"com.android.ide.eclipse.ddms.views.LogCatView",1343514203109
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343514212265
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343514236718
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1343514236749
activated,perspective,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.DebugPerspective",1343514237046
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1343514237343
activated,view,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.DebugView",1343514240124
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.Resume",1343514240140
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.Resume",1343514252156
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343514254734
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343514282171
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.Resume",1343514287109
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.StepOver",1343514292234
error,log,,,"",1343514292265
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.StepOver",1343514293124
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.StepOver",1343514296265
error,log,,,"",1343514296265
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.StepOver",1343514297562
error,log,,,"",1343514297562
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.StepOver",1343514298984
error,log,,,"",1343514298999
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.ClassFileEditor",1343514300718
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.Resume",1343514304234
opened,editor,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.sourcelookup.CommonSourceNotFoundEditor",1343514305218
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.ClassFileEditor",1343514305281
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343514307734
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343514310984
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.Resume",1343514311031
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343514314234
closed,editor,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.sourcelookup.CommonSourceNotFoundEditor",1343514317687
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343514320390
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1343514320453
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343514377812
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343514381656
failed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.override.methods",1343514381687
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343514389937
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343514457390
failed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.override.methods",1343514457437
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343514484406
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343514509640
failed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.override.methods",1343514509671
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343514510421
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343514524484
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343514559671
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343514619562
activated,editor,com.android.ide.eclipse.adt,20.0.0.v201206242043-391819,"com.android.ide.eclipse.editors.CommonXmlEditor",1343514626796
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343514642124
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343514653874
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1343514657984
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1343514661359
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343514667031
