what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1345277951055
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1345277954492
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1345277964883
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1345277967149
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1345277970149
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1345277972399
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1345277982680
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345277982899
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345277984055
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1345278001961
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1345278004446
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1345278013446
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1345278036571
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1345278042446
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1345278044149
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.open.editor",1345278054305
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1345278081586
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345278101836
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345278121633
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1345278125274
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1345278129180
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1345278134461
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1345278142930
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345278143274
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345278145852
activated,view,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.DebugView",1345278147899
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.Resume",1345278147961
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1345278154711
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1345278160992
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345278161180
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345278162836
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345278164258
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345278181789
activated,view,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.DebugView",1345278181836
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.Terminate",1345278184133
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345278186461
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345278199180
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345278201821
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345278245008
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.Resume",1345278247914
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.Resume",1345278252461
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345278257867
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345278293727
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.Resume",1345278296211
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.Resume",1345278303383
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345278309586
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345278321664
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1345278321899
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1345278327727
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.open.editor",1345278352117
