what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343464281749
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343464307546
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1343464313843
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1343464318031
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1343464319828
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1343464327062
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343464329312
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343464438249
activated,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1343464448562
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343464458578
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343464467749
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343464468828
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343464473718
opened,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1343464473874
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1343464473999
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.navigate.openResource",1343464474015
activated,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1343464568999
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343464578624
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343464598593
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1343464601343
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1343464603203
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343464604390
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343464675906
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1343464677499
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1343464679453
activated,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1343464683546
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1343464691281
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343464692484
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343464862484
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1343464865171
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1343464867437
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1343464871906
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1343464879093
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343464882749
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343465013062
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343465015749
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343465032093
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343465034124
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343465063890
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343465086374
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343465109265
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343465111874
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343465175281
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1343465182078
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343465183249
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343465184328
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343465185359
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343465206281
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1343465221296
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1343465221468
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1343465221671
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1343465221921
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1343465226437
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1343465226796
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1343465227140
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1343465227359
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1343465227546
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1343465227781
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1343465229906
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343465231437
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343465257796
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343465260703
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343465605515
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343465640312
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343465671249
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1343465691531
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343465692796
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343465704546
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1343465707828
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1343465710921
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1343465711968
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343465713187
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343465723843
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1343465733999
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1343465741124
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1343465743421
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343465745734
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343465748328
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1343465754062
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343465755453
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343465770624
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1343465809968
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343465811328
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343465831109
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343465838984
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343478127234
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343478129921
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343478930546
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1343478935499
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343478936718
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343478955140
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343478970859
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343479058765
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343479075046
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343479109281
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1343479124999
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1343479132015
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1343479133015
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343479134968
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343479157890
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1343479161968
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343479163156
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343479201359
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1343479204515
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1343479210609
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1343479212984
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343479215171
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343479223890
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1343479233515
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1343479236609
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1343479237468
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343479238546
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343479242468
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1343479243859
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1343479245531
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1343479249296
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1343479271937
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1343479275593
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1343479276406
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343479277765
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343479283562
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1343479328296
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1343479332265
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1343479333359
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343479334984
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343479340562
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1343479378296
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1343479380609
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1343479383484
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1343479384390
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343479385437
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343479411562
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1343479415828
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1343479421093
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1343479422046
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343479423296
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343479425281
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1343479434343
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343479435406
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343479444937
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1343479479546
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343479480531
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343479483578
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1343479496468
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343479499421
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343479505749
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1343479513406
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343479515203
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343479521828
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1343479525234
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343479526718
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343479580281
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343480559999
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343484921656
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343484924124
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343486357734
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1343486360265
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343486432093
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343486432109
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343486432453
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343486507734
activated,view,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.DebugView",1343486528124
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1343486528624
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343486536796
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343486545249
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1343486564562
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343486578999
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343486586531
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343486587718
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343486589749
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343486591062
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343486591062
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343486591171
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343486635749
activated,perspective,org.eclipse.jst.j2ee.ui,1.1.501.v201108231700,"org.eclipse.jst.j2ee.J2EEPerspective",1343486639343
activated,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ResourceNavigator",1343486659296
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343486670656
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343486672265
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343486688296
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343486720187
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.newWizard",1343486720234
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1343486720578
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1343486720671
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1343486725031
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1343486729765
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1343486733093
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1343486735593
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343486739968
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343486740109
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1343486744609
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1343486763703
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1343486774218
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1343486775765
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1343486779703
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1343486783078
