what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343459279890
opened,view,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.DebugView",1343459296453
opened,view,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.VariableView",1343459297062
opened,view,com.android.ide.eclipse.ddms,20.0.0.v201206242043-391819,"com.android.ide.eclipse.ddms.views.LogCatView",1343459297734
activated,perspective,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.DebugPerspective",1343459297906
activated,editor,com.android.ide.eclipse.adt,20.0.0.v201206242043-391819,"com.android.ide.eclipse.editors.CommonXmlEditor",1343459297999
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343459307468
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343459335312
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343459335999
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343459342734
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343459346328
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343459348140
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343459357015
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343459364624
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343459365703
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343459368281
activated,view,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.DebugView",1343459368515
opened,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1343459371078
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1343459371093
activated,view,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.DebugView",1343459378781
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343459386109
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343459454421
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343459468343
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343459469171
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1343459469187
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343459481718
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343459514640
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1343459515156
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1343459531421
