what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343453013859
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1343453019734
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343453020968
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343453030828
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1343453034249
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343453035437
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343453037828
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1343453040937
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343453041921
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343453081718
activated,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1343453085562
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1343453098093
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343453101156
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343453117265
activated,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1343453123624
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1343453128109
activated,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1343453132281
activated,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1343453141484
activated,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1343453148468
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1343453165343
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1343453166609
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1343453178093
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343453179640
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343453226218
activated,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.2.v201205310922,"org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor",1343453228374
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1343453236499
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343453237968
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343453249624
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343453254249
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343453392546
activated,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1343453394906
activated,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1343453395765
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343453429296
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343453444484
activated,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.2.v201205310922,"org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor",1343453444609
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1343453474921
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343453476671
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343453602953
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343453605374
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343453725609
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343453727953
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343453729437
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343453732156
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343453732171
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343453732265
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343453765609
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343453767359
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343454114499
activated,view,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.ui.explorer",1343454116484
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343454145328
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343454168437
activated,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.2.v201205310922,"org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor",1343454168578
activated,view,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.ui.explorer",1343454176046
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343454184218
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343454230062
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343454247171
opened,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1343454277046
activated,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1343454277093
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343454277187
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1343454278640
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1343454283031
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343454285781
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343454297765
activated,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1343454300484
activated,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1343454315249
activated,view,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.ui.explorer",1343454320812
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1343454321968
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343454322484
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343454330312
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1343454330359
opened,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1343454333249
activated,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1343454333312
