what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.ExpressionView",1345258721643
activated,view,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.DebugView",1345258727283
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.Resume",1345258727361
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1345258734518
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.open.editor",1345258735518
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1345258757096
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345258757533
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345258759096
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.open.editor",1345258765002
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345258799283
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345258803143
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345258803643
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345258808877
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345258829221
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345258845768
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345258848674
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345258867252
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345258874158
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345258928846
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.StepOver",1345258936018
error,log,,,"",1345258936018
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.StepOver",1345258943908
error,log,,,"",1345258943908
activated,view,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.DebugView",1345258950064
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.Resume",1345258950143
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345258952080
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345258954986
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1345258955002
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345258962439
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345258986643
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.open.editor",1345258989018
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.open.editor",1345259000127
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345259033799
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345259093439
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1345259116455
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1345259120002
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345259120361
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345259121611
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345259150174
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345259182861
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345259233158
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345259247158
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345259252049
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345259265174
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.StepOver",1345259266689
error,log,,,"",1345259266689
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.StepOver",1345259268174
error,log,,,"",1345259268252
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.StepOver",1345259269674
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.StepOver",1345259273627
error,log,,,"",1345259273627
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.StepOver",1345259276752
error,log,,,"",1345259276752
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.ClassFileEditor",1345259277877
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.ClassFileEditor",1345259277939
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.StepOver",1345259281799
error,log,,,"",1345259281799
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.StepOver",1345259285658
error,log,,,"",1345259285658
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.StepOver",1345259286471
error,log,,,"",1345259286486
opened,editor,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.sourcelookup.CommonSourceNotFoundEditor",1345259287002
activated,editor,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.sourcelookup.CommonSourceNotFoundEditor",1345259287096
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.ClassFileEditor",1345259287111
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.StepOver",1345259288580
error,log,,,"",1345259288580
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.Resume",1345259292018
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1345259292268
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.Resume",1345259296393
activated,editor,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.sourcelookup.CommonSourceNotFoundEditor",1345259296674
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.Resume",1345259297893
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345259309955
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345259311033
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1345259311049
closed,editor,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.sourcelookup.CommonSourceNotFoundEditor",1345259311049
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345259339236
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345259367893
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.StepOver",1345259373736
error,log,,,"",1345259373736
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.StepOver",1345259375064
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.StepOver",1345259378752
error,log,,,"",1345259378752
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.StepOver",1345259379611
error,log,,,"",1345259379611
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.StepOver",1345259380299
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.StepOver",1345259386064
error,log,,,"",1345259386080
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.ClassFileEditor",1345259387314
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.ClassFileEditor",1345259387393
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.StepOver",1345259393736
error,log,,,"",1345259393736
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.StepOver",1345259407205
error,log,,,"",1345259407205
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.StepOver",1345259407908
error,log,,,"",1345259407908
opened,editor,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.sourcelookup.CommonSourceNotFoundEditor",1345259408455
activated,editor,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.sourcelookup.CommonSourceNotFoundEditor",1345259408564
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.ClassFileEditor",1345259408596
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.StepOver",1345259409439
error,log,,,"",1345259409439
activated,view,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.DebugView",1345259411611
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.Resume",1345259411674
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1345259413377
closed,editor,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.sourcelookup.CommonSourceNotFoundEditor",1345259413393
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.StepOver",1345259416471
error,log,,,"",1345259416471
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.StepOver",1345259420143
error,log,,,"",1345259420143
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.ClassFileEditor",1345259420643
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.ClassFileEditor",1345259420752
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.StepOver",1345259424549
error,log,,,"",1345259424549
activated,view,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.DebugView",1345259427439
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.Resume",1345259427471
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345259430846
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345259434455
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.ClassFileEditor",1345259434564
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1345259434627
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.ClassFileEditor",1345259434627
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1345259451861
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1345259463611
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345259478627
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345259546189
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1345259550627
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1345259563049
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1345259564174
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1345259566361
activated,view,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.DebugView",1345259580018
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345259615643
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345259640361
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1345259640377
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.StepOver",1345259648689
error,log,,,"",1345259648939
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.StepOver",1345259650518
error,log,,,"",1345259650518
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.StepOver",1345259651080
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.StepOver",1345259654189
error,log,,,"",1345259654189
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.StepOver",1345259655221
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.StepOver",1345259658908
error,log,,,"",1345259658908
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345259678408
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345259679596
activated,view,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.DebugView",1345259682361
error,log,,,"Invalid stack frame",1345259682424
error,log,,,"Invalid stack frame",1345259682424
error,log,,,"Invalid stack frame",1345259685143
error,log,,,"Invalid stack frame",1345259685143
error,log,,,"Invalid stack frame",1345259686252
error,log,,,"Invalid stack frame",1345259686252
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.ClassFileEditor",1345259686408
error,log,,,"Invalid stack frame",1345259692361
error,log,,,"Invalid stack frame",1345259692361
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1345259695158
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345259700221
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345259716158
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1345259718893
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345259719189
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345259720471
activated,view,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.DebugView",1345259722299
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1345259726361
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.format",1345259729721
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1345259730611
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345259732533
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345259733814
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1345259737408
